Drawing Number,Material,Program Number,G76 Block 1,G76 Block 2,Machine
JEFD0319030 C,6AL-4V,5020 UNPROVEN.NC, G18 G76 P010060 Q00250 R.0005,  G76 X.497 Z.645 P03067 Q03067 F.05,BO-326
JEFD0319030 C,6AL-4V,5020.NC, G18G76P010060Q00250R.0005,  G76X.497Z.645P03067Q03067F.05,BO-326
JEFD0319030 C,6AL-4V,5021 UNPROVEN.NC, G18 G76 P010060 Q00250 R.0005,  G76 X.497 Z-.252 P03067 Q03067 F.05,BO-326
JEFD0319030 C,6AL-4V,5021.NC, G18G76P010060Q00250R.0005,  G76X.497Z-.252P03067Q03067F.05,BO-326
JEFD0389130 A,15-5 PH,5034, G18 G76 P020060 Q00250 R.0005,  G76 X.3203 Z.500 P02556 Q02556 F.0417,BO-326
JEFD0317280 A,316,5041, G18 G76 P020060 Q00250 R0.,  G76 X.4898 Z-.5032 P03408 Q03408 F.0556,BO-326
JEFD0365630M A,304L,5042, G18 G76 P020060 Q00300 R.0005,  G76 X.3761 Z.830 P03067 Q03067 F.05,BO-326
JEFD0365630M A,304L,5043, G18 G76 P020060 Q00300 R.0005,  G76 X.3761 Z-.530 P03067 Q03067 F.05,BO-326
JHBD0503470 A,304,5045-B0326, G18 G76 P020060 Q00300 R.0005,  G76 X.4898 Z-.418 P03408 Q03408 F.0556,BO-326
JEFD0317150 A,304,5046-B0326, G18 G76 P010060 Q00250 R0.,  G76 X.3761 Z.34 P03067 Q03067 F.05,BO-326
JEFD0317150 A,304,5047-B0326, G76 P010060 Q00250 R0.,  G76 X.3761 Z-.5 P03067 Q03067 F.05,BO-326
JEFD0311270 A,15-5PH,5050-B0326, G76P010060Q00300R0.0005,  G76X.3691Z0.345P03067Q03067F0.05,BO-326
JEFD0311270 A,15-5PH,5051-B0326, G18G76P010060Q00300R0.0005,  G76X.3691Z-0.410P03067Q03067F0.05,BO-326
JEFD0303400 G,304,5056, G76 P020060 Q00300 R.0005,  G76 X.3691 Z.510 P03067 Q03067 F.05,BO-326
JEFD0303400 G,304,5057, G18 G76 P010060 Q00300 R.0005,  G76 X.3691 Z-.4988 P03067 Q03067 F.05,BO-326
JEBD0507160 A,304L,5060-B0326, G76P020060Q00300R.0005,  G76X.3691Z.510P03067Q03067F.05,BO-326
JEBD0507160 A,304L,5061-B0326, G18G76P010060Q00300R.0005,  G76X.3691Z-.4988P03067Q03067F.05,BO-326
JEFD0314170 A,304,5063-B0326, G18G76P010060Q00300R.0005,  G76X.3691Z-.39P03067Q03067F.05,BO-326
JEFD0510940 A,316,5076-B0326, G76 P010060 Q00300 R.0005,  G76 X.317 Z.315 P02555 Q02555 F.0417,BO-326
JEFD0510940 A,316,5077-B0326, G18 G76 P010060 Q00250 R.0005,  G76 X.3691 Z-.510 P03067 Q03067 F.05,BO-326
AARD0511030M C,304L,6010-WY, G76 P010060 Q0035 R.0005,  G76 X.2457 Z-.45 P0255 Q0255 F.0417,WY-100
AARD0511110M C,304L,6011-WY, G76 P010060 Q0035 R.0005,  G76 X.313 Z-.45 P0256 Q0255 F.0417,WY-100
VHCD0506410 A,4140,6410.P-1, G76 P020160 Q0035 R0005,  G76 X.6673 Z-2.975 P0383 Q0383 F.0625,NTY-3
AARD0511030M C,304L,6510-WY, G76 P020060 Q0025 R.0005,  G76 X.376 Z.370 P0307 Q0307 F.05,WY-100
AARD0511110M C,304L,6511-WY, G76 P010060 Q0035 R.0005,  G76 X.313 Z.470 P0255 Q0255 F.0417,WY-100
JEFD0389130 A,15-5 PH,O0001-HEAD#1.nc, G76P040060Q0015R0,  G76X.325Z.525R0P230Q230F.0416,KNC-32
JEFD0304260 B,304L,O0009-HEAD#1.nc, G76P040060Q0015R0,  G76X.495Z.465R0P320Q320F.0555,KNC-32
DTCD0100010 A,304L,O0044-HEAD#1.nc, G76P040060Q0015R0,  G76X.377Z.53R0P310Q310F.05,KNC-32
